video_id,title,published,url,views,likes,comments,duration_sec,duration_min
I3f_ucrnCUg,$750 Flashlight vs Phone Flashlight!,2025-06-16T23:33:11Z,https://youtube.com/watch?v=I3f_ucrnCUg,8449779,252377,2274,68,1.1
86Gy035z_KA,Apple Vision Pro Review: Tomorrow's Ideas... Today's Tech!,2024-02-04T01:40:14Z,https://youtube.com/watch?v=86Gy035z_KA,8378897,208605,11724,1488,24.8
hz6oys4Eem4,Apple's AI Crisis: Explained!,2025-03-29T02:41:29Z,https://youtube.com/watch?v=hz6oys4Eem4,8269258,203594,14699,1012,16.9
piYf4gDthjY,iPhone 15/15 Pro Unboxing and Second Look!,2023-09-19T13:01:15Z,https://youtube.com/watch?v=piYf4gDthjY,8113558,217442,9898,681,11.3
5LWDl5qaQbA,iOS 17 Hands-On: Top 5 Features!,2023-07-14T16:39:30Z,https://youtube.com/watch?v=5LWDl5qaQbA,7893675,179737,6767,753,12.6
ArcI4A5nvBo,iOS 18 Hands-On: Top 5 Features!,2024-07-15T21:31:41Z,https://youtube.com/watch?v=ArcI4A5nvBo,7816717,216881,7880,767,12.8
sF9xYtouZjY,Driving The New Fastest Car Ever Made!,2023-08-18T23:14:52Z,https://youtube.com/watch?v=sF9xYtouZjY,7812917,235907,11508,745,12.4
7gtc1DW2Tgo,Wait... Smart Glasses are Suddenly Good?,2025-09-19T17:37:19Z,https://youtube.com/watch?v=7gtc1DW2Tgo,7761840,187296,8570,691,11.5
v5lc7UAAats,This or Apple Vision Pro?,2025-10-24T02:20:38Z,https://youtube.com/watch?v=v5lc7UAAats,7757862,262278,3689,72,1.2
_9prH7NFmLI,My FBI Declassified Story,2024-07-26T18:14:38Z,https://youtube.com/watch?v=_9prH7NFmLI,7692341,325233,8060,566,9.4
z19HM7ANZlo,The M4 Mac Mini is Incredible!,2024-11-07T14:00:39Z,https://youtube.com/watch?v=z19HM7ANZlo,7676434,186167,8968,705,11.8
bDuzEwInD7U,iPhone Update PSA,2023-09-22T20:51:47Z,https://youtube.com/watch?v=bDuzEwInD7U,7666401,379349,6340,60,1.0
FXrcFeuYtq8,iOS 26 Hands-On: Liquid Glass!,2025-07-24T17:41:59Z,https://youtube.com/watch?v=FXrcFeuYtq8,7655927,169714,8951,861,14.3
oeHtfMFdzIY,Phone Camera PSA,2025-09-04T19:26:55Z,https://youtube.com/watch?v=oeHtfMFdzIY,7631811,309023,4191,86,1.4
